delta,pooled_pT,pooled_pB,pooled_lift,case_geo_lift_eps,case_ratio_of_means,n_cases_used,sci_geo_lift_eps,sci_ratio_of_means,n_scientists_used,n_T_events_total,n_B_events_total
1,0.3716216216216216,0.32608695652173914,1.1396396396396395,274.86949739504837,1.3155594405594404,20,26.100493877879465,1.1074111074111075,23,148,46
2,0.5540540540540541,0.4782608695652174,1.1584766584766584,83.78926491865059,1.184768740031898,20,14.729251534991155,1.036758695849605,23,148,46
3,0.6621621621621622,0.5652173913043478,1.1715176715176716,46.96635498019704,1.2199217696250337,20,9.078153911168762,1.0618880383239737,23,148,46
4,0.722972972972973,0.6304347826086957,1.146784715750233,49.41683331326979,1.240196696507376,20,9.428537398515882,1.094105047494878,23,148,46
5,0.7567567567567568,0.717391304347826,1.054873054873055,13.029508444260056,1.1195487090475156,20,5.241798393469327,1.0544753174286854,23,148,46
6,0.777027027027027,0.7608695652173914,1.021235521235521,12.726882388604732,1.078470515970516,20,5.15020099913712,1.031379424595505,23,148,46
7,0.7905405405405406,0.7608695652173914,1.038996138996139,12.997760975487616,1.093058968058968,20,5.227110370106532,1.0438041857639848,23,148,46
8,0.8040540540540541,0.7608695652173914,1.0567567567567566,13.221223928018867,1.10764742014742,20,5.2929011371227555,1.0562289469324646,23,148,46
9,0.8175675675675675,0.7608695652173914,1.0745173745173744,13.412773455550408,1.1222358722358723,20,5.350620987523561,1.0686537081009442,23,148,46
10,0.831081081081081,0.7608695652173914,1.0922779922779922,13.581119067820383,1.1368243243243243,20,9.79302248961857,1.129535037826495,23,148,46
11,0.831081081081081,0.782608695652174,1.061936936936937,13.430434450306496,1.1216666666666666,20,9.7430006496312,1.1224842573157179,23,148,46
12,0.8378378378378378,0.782608695652174,1.0705705705705706,13.52040359325369,1.13,20,9.776966471773118,1.1268057784911716,23,148,46
